"Animal" "Color" "Height" "Weight"
"1" "Dog" "Block" 23.7219148944647 30.0534384463978
"2" "Dog" "Block" 24.0524802624193 9.89969944949084
"3" "Dog" "Block" 34.0590651375061 17.0121363003216
"4" "Dog" "Block" 23.139115946577 22.0328256521431
"5" "Dog" "Block" -3.99068760362568 -1.28563729640102
"6" "Dog" "Block" 6.86524643439386 23.0756160528846
"7" "Dog" "Block" 26.2226726203527 0.921325730506659
"8" "Dog" "Block" 15.1800261583878 21.0060455863567
"9" "Dog" "Block" 25.9420290117123 19.2200854097828
"10" "Dog" "Block" 7.90884328643462 -1.61384052813183
"11" "Dog" "Block" -4.35465180712126 16.7025184837637
"12" "Dog" "Block" -6.13373793490286 22.4847892094741
"13" "Dog" "Block" 28.329916515056 13.2322080346572
"14" "Dog" "Block" 1.37934648455925 9.08846631947269
"15" "Dog" "Block" 14.0234768106343 18.5185810588878
"16" "Dog" "Brown" 34.1481338077123 20.0370322054544
"17" "Dog" "Brown" -3.31437430947236 24.7600480996734
"18" "Dog" "Brown" 32.3445613472289 20.1059028782856
"19" "Dog" "Brown" 20.1749950245775 29.9261086555656
"20" "Dog" "Brown" 35.9569072132688 1.46114206044498
"21" "Dog" "Brown" 26.9572431726733 33.8677626597857
"22" "Dog" "Brown" 22.3967848616184 26.0196575106415
"23" "Dog" "Brown" 18.2459112535462 17.3079171217242
"24" "Dog" "Brown" 15.5403172385382 7.94539008669369
"25" "Dog" "Brown" 18.8710077048165 24.8294223337571
"26" "Dog" "Brown" -9.00802897260585 20.1099928415895
"27" "Dog" "Brown" -2.93593095794581 16.2224824013141
"28" "Dog" "Brown" 11.2069597690484 20.5835219786576
"29" "Dog" "Brown" 13.6741649049517 6.87616514252255
"30" "Dog" "Brown" 38.1445842856596 9.66805846981586
"31" "Dog" "Brown" 18.4217923580531 21.4088306399682
"32" "Dog" "Brown" 3.85017726478693 29.5333594871083
"33" "Dog" "Brown" 17.7108579861403 22.2159816259636
"34" "Dog" "Brown" 17.2109646935501 19.6242973306908
"35" "Dog" "Brown" 13.7145887288652 16.5766538821733
"36" "Dog" "Yellow" 11.1833189428278 2.68426156560832
"37" "Dog" "Yellow" 31.9283872343712 12.9782050323705
"38" "Dog" "Yellow" 18.3681378490399 9.94418845241939
"39" "Dog" "Yellow" 22.2783016491723 27.5742462401762
"40" "Dog" "Yellow" 31.1168155708484 23.4622828304636
"41" "Dog" "Yellow" 11.6756323725576 19.8156161563749
"42" "Dog" "Yellow" 10.7909851670375 28.2757391088937
"43" "Cat" "Yellow" 7.67442598974538 13.8571968385829
"44" "Cat" "Yellow" 6.42150688330969 22.444449932695
"45" "Cat" "Yellow" 7.71188869781985 13.6096223586468
"46" "Cat" "Yellow" -4.18467159498027 13.6263793019818
"47" "Cat" "Yellow" 2.91113351216636 15.8567566049996
"48" "Cat" "Yellow" 6.68005809260409 33.8348748457709
"49" "Cat" "Yellow" 20.6868445378778 22.1432688831661
"50" "Cat" "Yellow" 22.9535288087556 10.8904842841772
"51" "Cat" "Yellow" 24.3290656902099 19.1771141978065
"52" "Cat" "Yellow" 17.5635066369592 10.8463650213104
"53" "Cat" "Yellow" 17.0460571071607 29.9081793801852
"54" "Cat" "Yellow" 7.2269794240506 14.9064097355969
"55" "Cat" "Yellow" 11.918228654219 17.2757888927429
"56" "Cat" "Yellow" 4.28933325568346 8.06163678214272
"57" "Cat" "Yellow" 13.786717655228 1.50346256751069
"58" "Cat" "Yellow" 11.1812809329065 15.3834872022477
"59" "Cat" "Yellow" 2.96166207191083 19.8111621170734
"60" "Cat" "Yellow" -2.01922229317602 10.2598156671789
"61" "Cat" "Yellow" 43.81488283118 13.6907644692231
"62" "Cat" "Yellow" 22.8002972179188 9.05467149720201
"63" "Cat" "Yellow" -4.35420883916398 9.65228922008667
"64" "Cat" "Yellow" 29.550677726199 29.8826466874417
"65" "Cat" "Yellow" 26.4312593152285 15.6072984534069
"66" "Cat" "Gray" 24.3524926978076 7.36070704135755
"67" "Cat" "Gray" 7.43444841917586 12.4914485559459
"68" "Cat" "Gray" 22.1472740549487 9.94875107722066
"69" "Cat" "Gray" 12.8118737448954 11.9897546543516
"70" "Cat" "Gray" 9.44821471680569 23.9814873028761
"71" "Cat" "Gray" 7.23403346792465 28.4610075634669
"72" "Cat" "Gray" 17.7908412171892 10.5534148219316
"73" "Cat" "Gray" 10.6596013133356 21.9022151333257
"74" "Cat" "Gray" 2.73865793609454 19.5599699540183
"75" "Cat" "Gray" -0.516599274490259 35.3462141610376
"76" "Cat" "Gray" 6.80640217479688 11.0517515042666
"77" "Cat" "Gray" 26.3584802213642 13.8561806718266
"78" "Cat" "Gray" 13.8716115018863 16.5326496795416
"79" "Cat" "Gray" 19.0652204136405 16.6943583380517
"80" "Cat" "Gray" 17.626339607045 25.873539074128
"81" "Cat" "Gray" 9.89217155468656 35.3674551523168
"82" "Cat" "Gray" 16.4742844382726 15.3237186112752
"83" "Cat" "Gray" 14.0872981013854 30.8372518595156
"84" "Cat" "Gray" 14.875335506088 24.2998475460494
"85" "Cat" "Gray" 3.62447251770389 18.9586188247656
"86" "Cat" "Gray" 13.0679062557078 9.43981326434926
"87" "Cat" "Gray" 15.1491651488382 18.6235874517112
"88" "Cat" "Gray" 9.63010403300488 10.0375514867324
"89" "Cat" "Gray" 18.5231941816567 12.6447497716606
"90" "Cat" "Gray" 14.3029819009323 23.2018789981184
